Time,Type,Interest_ID,Consumer_ID,Route_ID,Content_name,Interest_hop,Path,Result,Hit,Miss
121,interest,I110008,C11,R11,r2/58,0,p11,interest miss in ps,0,1
138,interest,I20004,C2,R2,r1/82,0,p2,interest hits in ps,1,0
137,interest,I10004,C1,R1,r0/52,0,p1,interest miss in ps,0,1
135,interest,I50000,C5,R3,r1/33,2,p5/4/3,interest hits in ps,1,0
139,interest,I20000,C2,R0,r6/91,2,p2/1/0,interest miss in ps,0,1
130,interest,I90000,C9,R11,r4/44,1,p9/11,interest miss in ps,0,1
134,interest,I70001,C7,R7,r2/49,0,p7,interest miss in ps,0,1
140,interest,I00003,C0,R0,r5/55,0,p0,interest miss in ps,0,1
131,interest,I80000,C8,R7,r2/3,1,p8/7,interest miss in ps,0,1
143,interest,I10000,C1,R5,r10/96,2,p1/2/5,interest miss in ps,0,1
132,interest,I90000,C9,R10,r4/44,2,p9/11/10,interest miss in ps,0,1
129,interest,I100000,C10,R6,r1/79,1,p10/6,interest miss in ps,0,1
130,interest,I100002,C10,R11,r9/14,1,p10/11,interest miss in ps,0,1
128,interest,I110009,C11,R11,r6/41,0,p11,interest miss in ps,0,1
143,interest,I40001,C4,R4,r6/82,0,p4,interest miss in ps,0,1
138,interest,I70000,C7,R6,r1/83,1,p7/6,interest miss in ps,0,1
136,interest,I70006,C7,R7,r11/61,0,p7,interest miss in ps,0,1
131,interest,I100008,C10,R10,r10/43,0,p10,interest miss in ps,0,1
149,interest,I30004,C3,R3,r8/7,0,p3,interest miss in ps,0,1
137,interest,I100000,C10,R9,r1/79,2,p10/11/9,interest miss in ps,0,1
137,interest,I110001,C11,R11,r9/1,2,p11/10/11,interest miss in ps,0,1
137,interest,I1100010,C11,R11,r4/71,0,p11,interest miss in ps,0,1
137,interest,I110005,C11,R10,r5/87,1,p11/10,interest miss in ps,0,1
